sales_agent_id,account,product,order_value,create_date
Wilburn Farren,Iselectrics,GTX Plus Pro,6263,4/22/17
Zane Levy,Blackzim,GTX Basic,570,4/23/17
Zane Levy,Dalttechnology,GTXPro,4633,4/29/17
Cassey Cress,The New York Inquirer,GTXPro,4891,4/28/17
Darcel Schlecht,Streethex,GTX Plus Pro,5858,4/29/17
Kary Hendrixson,Y-corporation,GTX Basic,500,4/30/17
Kary Hendrixson,Kan-code,MG Advanced,3546,4/23/17
Markita Hansen,Dalttechnology,GTX Basic,525,4/30/17
Moses Frase,Conecom,GTX Plus Basic,1024,4/27/17
Niesha Huffines,Streethex,GTX Plus Pro,6384,4/30/17
Rosalina Dieter,Labdrill,MG Special,55,4/28/17
Rosalina Dieter,Y-corporation,MG Advanced,3242,4/30/17
Vicki Laflamme,Singletechno,GTXPro,4869,4/28/17
Vicki Laflamme,Hottechi,MG Advanced,3661,4/29/17
Zane Levy,Kan-code,GTXPro,5456,4/29/17
Corliss Cosme,Zotware,GTX Plus Pro,5780,4/24/17
Corliss Cosme,Zencorporation,GTXPro,5787,4/30/17
Daniell Hammack,Bioplex,GTXPro,5149,4/25/17
Donn Cantrell,Vehement Capital Partners,GTXPro,4810,4/30/17
Gladys Colclough,Betatech,GTX Basic,560,4/24/17
Kami Bicknell,Golddex,GTX Basic,592,4/24/17
Kary Hendrixson,Doncon,GTX Basic,529,4/29/17
Kary Hendrixson,J-Texon,GTXPro,5415,4/26/17
Niesha Huffines,Genco Pura Olive Oil Company,GTX Basic,554,4/24/17
Rosalina Dieter,Blackzim,MG Special,59,4/30/17
Anna Snelling,Ron-tech,MG Special,62,4/25/17
Darcel Schlecht,Domzoom,GTX Plus Pro,5029,4/29/17
Jonathan Berthelot,Globex Corporation,GTX Basic,580,4/26/17
Markita Hansen,J-Texon,GTX Plus Basic,788,4/29/17
Reed Clapper,Vehement Capital Partners,GTXPro,4980,4/25/17
Boris Faz,Zencorporation,GTX Basic,560,4/27/17
Maureen Marcano,Y-corporation,GTX Plus Basic,1113,4/26/17
Zane Levy,Rantouch,GTX Basic,464,4/27/17
Elease Gluck,Faxquote,MG Special,43,4/28/17
James Ascencio,Golddex,MG Special,49,4/28/17
Lajuana Vencill,Stanredtax,GTX Basic,517,4/27/17
Rosalina Dieter,Condax,MG Special,53,4/28/17
Vicki Laflamme,Newex,GTXPro,4735,4/27/17
Boris Faz,Konex,GTX Basic,584,4/29/17
Daniell Hammack,Konex,GTXPro,5676,4/28/17
Versie Hillebrand,Treequote,MG Special,60,4/29/17
Violet Mclelland,Plussunin,GTX Plus Basic,1146,4/28/17
Kami Bicknell,Green-Plus,GTX Basic,508,12/2/17
Anna Snelling,Streethex,MG Special,53,12/2/17
Zane Levy,Singletechno,GTX Plus Basic,1091,12/1/17
Darcel Schlecht,Condax,GTX Plus Basic,1245,12/4/17
Jonathan Berthelot,Streethex,MG Special,49,12/16/17
Rosie Papadopoulos,Silis,GTX Plus Basic,965,12/2/17
Gladys Colclough,Finhigh,MG Advanced,3367,12/7/17
Reed Clapper,Bioplex,GTX Plus Pro,6318,12/16/17
Darcel Schlecht,Scottech,GTX Plus Basic,1013,12/20/17
Donn Cantrell,Yearin,GTX Basic,573,12/20/17
Donn Cantrell,Zathunicon,GTX Basic,535,12/4/17
Marty Freudenburg,Finhigh,GTX Basic,609,12/14/17
Corliss Cosme,Bluth Company,MG Special,59,12/1/17
Kami Bicknell,Konex,GTX Basic,510,12/18/17
Corliss Cosme,Gekko & Co,GTXPro,4639,12/5/17
Lajuana Vencill,Globex Corporation,MG Advanced,3063,12/13/17
Daniell Hammack,Konex,GTX Plus Basic,1135,12/22/17
James Ascencio,Hottechi,GTX Basic,511,12/19/17
Markita Hansen,Goodsilron,GTX Plus Basic,1017,12/8/17
Maureen Marcano,Kan-code,MG Special,67,12/4/17
Niesha Huffines,Hottechi,GTX Basic,569,12/9/17
Reed Clapper,Xx-zobam,GTX Basic,517,12/13/17
Daniell Hammack,Kan-code,GTXPro,5315,12/7/17
Vicki Laflamme,Golddex,MG Special,57,12/6/17
Cassey Cress,Acme Corporation,GTX Plus Pro,5881,12/21/17
Donn Cantrell,Plussunin,GTX Plus Pro,5454,12/11/17
Moses Frase,Scottech,GTX Basic,716,12/18/17
Marty Freudenburg,Ron-tech,GTX Basic,580,12/30/17
Violet Mclelland,Vehement Capital Partners,MG Special,49,12/7/17
Boris Faz,Mathtouch,GTX Plus Pro,5703,12/3/17
Jonathan Berthelot,Funholding,GTX Plus Basic,1148,12/1/17
Kary Hendrixson,Hottechi,GTXPro,4009,12/24/17
Maureen Marcano,Kan-code,GTXPro,3854,12/25/17
Moses Frase,Stanredtax,MG Advanced,3894,12/17/17
Vicki Laflamme,Rantouch,MG Advanced,2833,12/22/17
Gladys Colclough,Treequote,MG Advanced,3436,12/6/17
Jonathan Berthelot,Rangreen,GTX Basic,611,12/30/17
Lajuana Vencill,Streethex,GTX Basic,513,12/13/17
Vicki Laflamme,Nam-zim,GTX Basic,547,12/23/17
James Ascencio,Green-Plus,GTX Basic,476,12/20/17
Maureen Marcano,Doncon,GTX Plus Basic,1005,12/28/17
Wilburn Farren,The New York Inquirer,MG Advanced,2994,12/22/17
Daniell Hammack,Ganjaflex,GTX Plus Basic,1054,12/3/17
Darcel Schlecht,Dontechi,GTXPro,4744,12/20/17
Maureen Marcano,Faxquote,GTX Plus Pro,5110,12/3/17
Moses Frase,Conecom,MG Special,51,12/13/17
Violet Mclelland,Ganjaflex,GTX Basic,542,12/8/17
Violet Mclelland,Yearin,GTX Basic,576,12/21/17
Kary Hendrixson,Zoomit,MG Special,62,12/18/17
Markita Hansen,Scotfind,MG Advanced,4139,12/8/17
Versie Hillebrand,Streethex,MG Special,56,12/9/17
Cassey Cress,Ganjaflex,MG Advanced,2613,12/4/17
Garret Kinder,Zotware,MG Special,54,12/29/17
Hayden Neloms,Labdrill,MG Advanced,3331,12/1/17
Rosie Papadopoulos,Donware,MG Special,58,12/15/17
Versie Hillebrand,Finhigh,MG Special,54,12/4/17
Donn Cantrell,Gekko & Co,MG Advanced,3281,12/1/17
Kami Bicknell,Finjob,GTX Basic,566,12/4/17
Cassey Cress,Bubba Gump,GTX Basic,606,12/8/17
Boris Faz,Condax,GTX Basic,489,12/21/17
Kami Bicknell,Zoomit,GTX Basic,474,12/28/17
Anna Snelling,Gogozoom,MG Special,44,12/3/17
Corliss Cosme,Donquadtech,GTX Plus Basic,1251,12/1/17
Hayden Neloms,Hottechi,MG Advanced,3064,12/31/17
Reed Clapper,Acme Corporation,GTX Plus Pro,5790,12/25/17
Versie Hillebrand,Bioholding,MG Special,62,12/8/17
Vicki Laflamme,Fasehatice,GTXPro,4577,12/19/17
Anna Snelling,Warephase,GTX Plus Basic,1118,12/26/17
Boris Faz,Ganjaflex,GTXPro,5052,12/21/17
Darcel Schlecht,Statholdings,GTXPro,3932,12/9/17
Donn Cantrell,Zathunicon,GTX Plus Basic,1166,12/29/17
Jonathan Berthelot,Genco Pura Olive Oil Company,GTX Basic,551,12/23/17
Marty Freudenburg,Condax,GTX Basic,555,12/22/17
Maureen Marcano,Scotfind,GTX Plus Basic,942,12/13/17
Maureen Marcano,Groovestreet,GTX Plus Pro,6489,12/8/17
Rosie Papadopoulos,Bubba Gump,GTXPro,3974,12/8/17
Vicki Laflamme,Finjob,GTX Basic,532,12/14/17
Zane Levy,Dalttechnology,GTX Basic,503,12/21/17
Jonathan Berthelot,Globex Corporation,GTX Basic,525,12/20/17
Moses Frase,Warephase,GTX Plus Basic,1374,12/17/17
Vicki Laflamme,Rantouch,MG Special,54,12/20/17
Anna Snelling,Stanredtax,GTX Basic,514,12/3/17
Darcel Schlecht,Rundofase,GTXPro,4819,12/4/17
Kami Bicknell,Hottechi,MG Special,50,12/13/17
Zane Levy,Labdrill,GTX Basic,614,12/3/17
Gladys Colclough,Domzoom,MG Special,58,12/4/17
Hayden Neloms,Goodsilron,MG Advanced,3482,12/15/17
Markita Hansen,Sonron,GTX Basic,456,12/27/17
Zane Levy,Finjob,GTX Basic,585,12/4/17
Donn Cantrell,Xx-zobam,MG Advanced,3595,12/14/17
Gladys Colclough,Inity,GTXPro,4981,12/2/17
James Ascencio,Nam-zim,MG Special,54,12/6/17
Markita Hansen,Scotfind,MG Special,50,12/12/17
Corliss Cosme,Xx-zobam,GTX Plus Pro,4631,12/26/17
Gladys Colclough,Zumgoity,GTX Basic,640,12/14/17
James Ascencio,Cheers,GTX Plus Pro,5285,12/28/17
Moses Frase,Domzoom,GTX Plus Basic,975,12/31/17
Moses Frase,Funholding,GTX Plus Basic,847,12/13/17
Niesha Huffines,Rangreen,MG Advanced,2814,12/15/17
Versie Hillebrand,Betatech,MG Special,41,12/26/17
Violet Mclelland,Silis,MG Special,54,12/8/17
Kary Hendrixson,Labdrill,GTXPro,5663,12/27/17
Vicki Laflamme,Lexiqvolax,GTX Basic,491,12/4/17
Darcel Schlecht,Treequote,GTXPro,5141,12/30/17
Markita Hansen,Scotfind,GTX Plus Basic,1182,12/9/17
Marty Freudenburg,Funholding,GTX Plus Pro,5788,12/20/17
Vicki Laflamme,Scotfind,GTXPro,5115,12/16/17
Wilburn Farren,Zathunicon,GTX Plus Basic,1144,12/6/17
Anna Snelling,Ron-tech,GTX Plus Basic,1249,12/12/17
Boris Faz,Sumace,GTX Plus Basic,1106,12/3/17
Kary Hendrixson,Plexzap,GTX Basic,566,12/17/17
Moses Frase,Condax,GTX Plus Basic,1033,12/11/17
Niesha Huffines,Dontechi,GTX Basic,587,12/19/17
Versie Hillebrand,Konmatfix,MG Special,54,12/12/17
Boris Faz,Zotware,GTX Plus Basic,1259,12/17/17
Kary Hendrixson,Fasehatice,GTX Plus Basic,1171,12/8/17
Marty Freudenburg,Globex Corporation,GTX Plus Basic,1021,12/3/17
Darcel Schlecht,Scottech,GTXPro,5127,12/5/17
Donn Cantrell,Ganjaflex,GTX Basic,547,12/26/17
Kami Bicknell,Faxquote,GTX Basic,582,12/14/17
Reed Clapper,Bubba Gump,GTXPro,4647,12/3/17
Versie Hillebrand,Dontechi,MG Special,57,12/31/17
Versie Hillebrand,Rundofase,MG Special,53,12/7/17
Versie Hillebrand,Konmatfix,MG Advanced,3811,12/12/17
Vicki Laflamme,Hottechi,GTX Basic,456,12/12/17
Cassey Cress,Xx-zobam,MG Advanced,3371,12/5/17
Cecily Lampkin,Scottech,MG Advanced,3748,12/25/17
Daniell Hammack,Iselectrics,GTX Plus Basic,1111,12/13/17
Gladys Colclough,Codehow,GTX Plus Basic,1083,12/18/17
Hayden Neloms,Blackzim,MG Advanced,3302,12/29/17
Kary Hendrixson,Cheers,GTX Basic,538,12/5/17
Kary Hendrixson,Y-corporation,MG Advanced,3021,12/12/17
Boris Faz,Konex,GTX Plus Basic,1140,12/30/17
Cecily Lampkin,Gogozoom,GTX Plus Pro,5520,12/4/17
Kami Bicknell,Plusstrip,GTX Plus Pro,4872,12/10/17
Moses Frase,Bioholding,GTX Basic,513,12/3/17
Violet Mclelland,Kan-code,GTX Basic,644,12/18/17
Anna Snelling,dambase,GTX Plus Basic,866,12/26/17
Darcel Schlecht,Finhigh,GTX Basic,626,12/16/17
Darcel Schlecht,Toughzap,GTXPro,4079,12/3/17
Garret Kinder,Konex,MG Advanced,3497,12/5/17
Jonathan Berthelot,Gogozoom,GTX Plus Basic,1066,12/16/17
Jonathan Berthelot,Cancity,MG Special,64,12/18/17
Jonathan Berthelot,Rangreen,MG Special,59,12/25/17
Versie Hillebrand,Toughzap,MG Special,50,12/9/17
Kary Hendrixson,Labdrill,GTX Plus Pro,5158,12/12/17
Reed Clapper,Plussunin,GTX Plus Basic,1176,12/14/17
Reed Clapper,Yearin,GTXPro,4140,12/14/17
Zane Levy,Sonron,GTX Basic,505,12/6/17
Donn Cantrell,Ontomedia,MG Advanced,3331,12/17/17
James Ascencio,Newex,GTX Basic,504,12/20/17
James Ascencio,Plexzap,GTX Plus Basic,1117,12/10/17
James Ascencio,Lexiqvolax,GTXPro,5230,12/7/17
Lajuana Vencill,dambase,GTX Basic,545,12/12/17
Marty Freudenburg,Bioholding,GTX Plus Basic,1086,12/14/17
Rosie Papadopoulos,Konex,GTXPro,5153,12/31/17
Darcel Schlecht,Warephase,GTX Plus Pro,5669,12/9/17
Gladys Colclough,Finhigh,GTX Plus Pro,5385,12/19/17
Markita Hansen,Zoomit,MG Special,48,12/9/17
Markita Hansen,Plexzap,MG Advanced,3663,12/1/17
Anna Snelling,Ron-tech,MG Special,65,12/7/17
Anna Snelling,Streethex,MG Special,58,12/30/17
Donn Cantrell,Plussunin,MG Advanced,3091,12/25/17
