sales_agent,account,product,order_value,create_date
Jonathan Berthelot,Globex Corporation,GTXPro,4929,9/2/17
Niesha Huffines,Cancity,GTX Basic,540,9/3/17
Reed Clapper,Acme Corporation,GTX Plus Basic,1095,9/4/17
Vicki Laflamme,Green-Plus,GTXPro,4477,9/14/17
Rosalina Dieter,Rantouch,MG Advanced,3418,9/21/17
Boris Faz,Zencorporation,GTX Plus Pro,5714,9/13/17
Versie Hillebrand,Streethex,GTX Plus Basic,959,9/19/17
Kary Hendrixson,Blackzim,MG Advanced,2868,9/3/17
Kami Bicknell,Lexiqvolax,GTX Basic,560,9/3/17
Kary Hendrixson,Y-corporation,GTXPro,4356,9/2/17
Markita Hansen,Sonron,GTX Basic,510,9/23/17
Markita Hansen,Zoomit,MG Advanced,3722,9/23/17
Reed Clapper,Initech,MG Advanced,3404,9/22/17
Boris Faz,Yearin,GTX Plus Pro,6117,9/7/17
Corliss Cosme,Kan-code,MG Advanced,3527,9/3/17
Gladys Colclough,Scottech,GTX Plus Pro,6274,9/2/17
Violet Mclelland,Opentech,MG Special,38,9/2/17
Anna Snelling,Rundofase,GTX Plus Pro,5373,9/17/17
Boris Faz,Bluth Company,GTX Plus Basic,1239,9/5/17
Corliss Cosme,Ganjaflex,GTX Basic,651,9/19/17
James Ascencio,Green-Plus,GTX Plus Pro,5569,9/5/17
Jonathan Berthelot,Hottechi,GTX Basic,519,9/4/17
Kami Bicknell,Scotfind,GTX Basic,558,9/5/17
Kary Hendrixson,Sonron,GTX Basic,523,9/5/17
Reed Clapper,Umbrella Corporation,MG Special,60,9/26/17
Violet Mclelland,Silis,GTX Basic,572,9/12/17
Jonathan Berthelot,Finhigh,GTXPro,4138,9/12/17
Lajuana Vencill,Funholding,MG Special,54,9/23/17
Lajuana Vencill,Inity,MG Advanced,3438,9/14/17
Rosalina Dieter,Singletechno,MG Advanced,3314,9/19/17
Vicki Laflamme,Kan-code,MG Special,50,9/10/17
Donn Cantrell,Massive Dynamic,MG Advanced,2876,9/4/17
Hayden Neloms,Sonron,GTX Plus Basic,1024,9/9/17
Kami Bicknell,Lexiqvolax,MG Special,53,9/16/17
Kary Hendrixson,J-Texon,GTX Basic,525,9/1/17
Rosalina Dieter,J-Texon,MG Special,57,9/10/17
Cassey Cress,Donware,GTX Basic,633,9/26/17
Darcel Schlecht,Toughzap,GTXPro,4903,9/6/17
Kary Hendrixson,Hatfan,GTXPro,5039,9/5/17
Marty Freudenburg,Toughzap,GTXPro,5055,9/19/17
Maureen Marcano,Golddex,GTX Basic,595,9/8/17
Moses Frase,Hottechi,MG Special,59,9/20/17
Niesha Huffines,Inity,GTX Basic,479,9/26/17
Niesha Huffines,Globex Corporation,MG Advanced,3449,9/14/17
Reed Clapper,Massive Dynamic,MG Special,54,9/24/17
Vicki Laflamme,Doncon,MG Special,59,9/1/17
Anna Snelling,Streethex,MG Special,55,9/27/17
Gladys Colclough,Hottechi,MG Advanced,3598,9/13/17
Kami Bicknell,Condax,MG Special,62,9/17/17
Lajuana Vencill,Streethex,GTX Basic,584,9/15/17
Vicki Laflamme,Plusstrip,MG Special,55,9/16/17
Violet Mclelland,Opentech,MG Special,63,9/10/17
Wilburn Farren,Donquadtech,GTXPro,3961,9/5/17
Markita Hansen,Hottechi,MG Advanced,2979,9/17/17
Cecily Lampkin,Finhigh,MG Special,60,9/13/17
Jonathan Berthelot,Rangreen,GTX Basic,532,9/13/17
Markita Hansen,Hottechi,GTXPro,4744,9/30/17
Maureen Marcano,Lexiqvolax,GTX Plus Basic,805,9/2/17
Versie Hillebrand,Codehow,MG Special,55,9/13/17
Zane Levy,Finjob,GTX Basic,520,9/8/17
Maureen Marcano,Kan-code,MG Special,52,9/5/17
Reed Clapper,Mathtouch,GTXPro,4370,9/22/17
Donn Cantrell,Kinnamplus,GTX Plus Pro,5051,9/21/17
Reed Clapper,Kinnamplus,GTX Basic,551,9/5/17
Anna Snelling,Rangreen,MG Special,49,9/13/17
Cecily Lampkin,Streethex,GTX Plus Basic,1001,9/25/17
Corliss Cosme,The New York Inquirer,MG Advanced,3777,9/16/17
Darcel Schlecht,Konmatfix,MG Advanced,3768,9/3/17
Jonathan Berthelot,Zumgoity,GTX Plus Basic,1144,9/20/17
Kary Hendrixson,Cheers,MG Special,44,9/22/17
Markita Hansen,Cheers,GTK 500,29166,9/26/17
Maureen Marcano,Fasehatice,GTX Plus Basic,951,9/12/17
Daniell Hammack,Ontomedia,GTXPro,4506,9/23/17
Garret Kinder,Zathunicon,GTX Plus Basic,851,9/20/17
Gladys Colclough,Inity,GTX Plus Basic,1143,9/20/17
Maureen Marcano,Faxquote,GTX Plus Pro,5966,9/1/17
Niesha Huffines,Domzoom,MG Special,61,9/10/17
Vicki Laflamme,Scotfind,MG Special,48,9/20/17
Violet Mclelland,Zathunicon,MG Special,53,9/21/17
Zane Levy,Cheers,MG Advanced,3314,9/4/17
Anna Snelling,Genco Pura Olive Oil Company,MG Special,64,9/25/17
Cassey Cress,Umbrella Corporation,MG Advanced,3399,9/30/17
Darcel Schlecht,Treequote,GTXPro,5322,9/10/17
Corliss Cosme,Ganjaflex,GTX Basic,525,9/2/17
Hayden Neloms,Scotfind,GTX Plus Pro,5053,9/11/17
Niesha Huffines,Ron-tech,MG Special,54,9/19/17
Cassey Cress,The New York Inquirer,GTXPro,5857,9/1/17
Darcel Schlecht,Rangreen,MG Advanced,2683,9/9/17
Jonathan Berthelot,Hottechi,GTX Basic,460,9/9/17
Jonathan Berthelot,Conecom,GTX Plus Basic,918,9/25/17
Rosie Papadopoulos,Xx-zobam,GTX Basic,524,9/13/17
Darcel Schlecht,Genco Pura Olive Oil Company,GTXPro,4577,9/17/17
Donn Cantrell,Ontomedia,GTX Basic,483,9/17/17
Garret Kinder,Vehement Capital Partners,GTXPro,5206,9/18/17
Gladys Colclough,Finhigh,MG Advanced,3621,9/4/17
Niesha Huffines,Bioholding,GTX Plus Basic,1063,9/17/17
Cassey Cress,Plussunin,GTX Plus Basic,1198,9/16/17
Corliss Cosme,Sumace,GTXPro,4960,9/9/17
Lajuana Vencill,Inity,MG Special,60,9/19/17
Vicki Laflamme,Groovestreet,MG Advanced,3295,9/17/17
Cassey Cress,Zathunicon,MG Special,59,9/23/17
Jonathan Berthelot,Bioholding,GTXPro,5220,9/15/17
Markita Hansen,Cheers,GTX Basic,505,9/28/17
Corliss Cosme,Initech,GTX Plus Basic,1236,9/21/17
Darcel Schlecht,Funholding,GTXPro,5449,9/26/17
Hayden Neloms,Fasehatice,MG Special,62,9/29/17
Kami Bicknell,Plexzap,GTX Plus Pro,5033,9/29/17
Kary Hendrixson,Blackzim,GTXPro,4966,9/22/17
Maureen Marcano,Sonron,GTX Plus Pro,5816,9/12/17
Maureen Marcano,Condax,MG Special,53,9/3/17
Moses Frase,Statholdings,MG Special,57,9/4/17
Rosie Papadopoulos,Condax,GTXPro,4759,9/21/17
Zane Levy,Konex,GTX Plus Basic,1213,9/20/17
Zane Levy,Sonron,GTXPro,4428,9/8/17
Reed Clapper,Massive Dynamic,GTX Basic,649,9/14/17
Vicki Laflamme,Goodsilron,MG Advanced,3241,9/13/17
Violet Mclelland,Sumace,GTX Basic,592,9/12/17
Wilburn Farren,Zotware,GTX Basic,506,9/20/17
Anna Snelling,Codehow,MG Advanced,3571,9/6/17
Cassey Cress,Konex,MG Special,59,9/15/17
Elease Gluck,Green-Plus,MG Special,58,9/30/17
Maureen Marcano,Kan-code,GTX Plus Basic,990,9/22/17
Niesha Huffines,Warephase,GTX Basic,587,9/30/17
Vicki Laflamme,Xx-holding,GTX Plus Basic,1027,9/23/17
Anna Snelling,Stanredtax,GTX Plus Pro,6250,9/12/17
Cecily Lampkin,Hottechi,MG Advanced,3510,9/12/17
Daniell Hammack,Umbrella Corporation,GTX Plus Basic,1078,9/11/17
Jonathan Berthelot,Inity,GTX Plus Basic,1051,9/13/17
Kary Hendrixson,Y-corporation,GTX Basic,628,9/22/17
Markita Hansen,Green-Plus,GTX Plus Pro,4916,9/4/17
Marty Freudenburg,Stanredtax,MG Advanced,3590,9/28/17
Moses Frase,Zumgoity,MG Advanced,2739,9/21/17
Zane Levy,Zoomit,GTXPro,4356,9/6/17
Boris Faz,Gekko & Co,GTXPro,5301,9/21/17
Daniell Hammack,Kan-code,GTX Plus Basic,1291,9/28/17
Daniell Hammack,Mathtouch,GTXPro,3729,9/27/17
Hayden Neloms,Plusstrip,GTX Plus Basic,1099,9/12/17
Reed Clapper,Ganjaflex,GTXPro,4801,9/18/17
Versie Hillebrand,Ron-tech,MG Special,52,9/29/17
Versie Hillebrand,Stanredtax,MG Advanced,2949,9/21/17
Kary Hendrixson,Lexiqvolax,GTX Plus Pro,5056,9/30/17
Moses Frase,Codehow,MG Special,63,9/10/17
Violet Mclelland,Massive Dynamic,MG Special,55,9/17/17
Zane Levy,Newex,GTX Plus Pro,4059,9/23/17
Darcel Schlecht,Genco Pura Olive Oil Company,GTXPro,4964,9/3/17
Gladys Colclough,Rangreen,GTX Plus Basic,1102,9/14/17
Kami Bicknell,Goodsilron,GTX Basic,519,9/22/17
Maureen Marcano,Dalttechnology,GTX Basic,500,9/6/17
Moses Frase,Rangreen,MG Advanced,3679,9/24/17
Corliss Cosme,Donquadtech,GTX Plus Pro,4905,9/11/17
Darcel Schlecht,Codehow,GTX Plus Pro,4430,9/12/17
James Ascencio,J-Texon,GTXPro,5541,9/15/17
Moses Frase,Streethex,GTX Basic,533,9/17/17
Garret Kinder,Iselectrics,GTX Basic,470,9/20/17
Gladys Colclough,Treequote,GTX Plus Pro,6193,9/17/17
James Ascencio,Faxquote,GTXPro,4277,9/16/17
Versie Hillebrand,Rangreen,MG Advanced,3046,9/12/17
Anna Snelling,Genco Pura Olive Oil Company,GTX Basic,631,9/11/17
Darcel Schlecht,Toughzap,MG Special,54,9/29/17
Jonathan Berthelot,Ron-tech,GTX Basic,501,9/2/17
Kary Hendrixson,J-Texon,GTX Basic,539,9/27/17
Kary Hendrixson,Nam-zim,GTXPro,3951,9/13/17
Moses Frase,Isdom,GTX Basic,530,9/30/17
Vicki Laflamme,Blackzim,GTX Plus Basic,1211,9/7/17
Vicki Laflamme,Faxquote,MG Advanced,3104,9/9/17
Violet Mclelland,Gekko & Co,MG Special,56,9/30/17
Garret Kinder,Mathtouch,MG Special,61,9/7/17
Jonathan Berthelot,Ron-tech,GTX Plus Basic,835,9/2/17
Kami Bicknell,Kan-code,MG Advanced,3464,9/12/17
Rosalina Dieter,Groovestreet,MG Special,55,9/3/17
Wilburn Farren,Kinnamplus,MG Advanced,3350,9/10/17
Anna Snelling,Betatech,GTX Basic,560,9/27/17
Cassey Cress,Betasoloin,MG Advanced,3280,9/26/17
Cecily Lampkin,Genco Pura Olive Oil Company,MG Advanced,3427,9/15/17
Daniell Hammack,Iselectrics,GTX Plus Basic,940,9/27/17
Darcel Schlecht,Warephase,GTX Basic,565,9/29/17
Reed Clapper,Massive Dynamic,GTX Plus Pro,5927,9/19/17
Reed Clapper,Bluth Company,MG Special,60,9/18/17
Darcel Schlecht,Rangreen,GTXPro,4888,9/23/17
Donn Cantrell,Condax,GTX Basic,535,9/25/17
Markita Hansen,Konex,MG Advanced,3225,9/30/17
James Ascencio,Hatfan,GTX Plus Pro,6192,9/16/17
Niesha Huffines,Funholding,GTX Plus Basic,1157,9/23/17
Cecily Lampkin,Condax,MG Special,47,9/23/17
James Ascencio,Lexiqvolax,GTX Plus Pro,6693,9/27/17
Kami Bicknell,Hatfan,MG Special,56,9/2/17
Lajuana Vencill,Bioholding,MG Advanced,2857,9/23/17
Lajuana Vencill,Dontechi,MG Advanced,3118,9/2/17
Moses Frase,Conecom,GTX Basic,376,9/6/17
Wilburn Farren,Donquadtech,MG Advanced,3101,9/7/17
Darcel Schlecht,Ron-tech,GTX Plus Basic,1300,9/5/17
Donn Cantrell,Betasoloin,GTX Basic,531,9/23/17
Moses Frase,Domzoom,GTX Basic,475,9/25/17
Zane Levy,Plexzap,MG Special,52,9/21/17
Garret Kinder,Vehement Capital Partners,GTX Plus Basic,1319,9/29/17
Kary Hendrixson,Zoomit,GTX Plus Basic,1043,9/26/17
Zane Levy,Y-corporation,GTX Basic,658,9/20/17
Cassey Cress,Plussunin,GTX Plus Pro,4791,9/1/17
Darcel Schlecht,Streethex,GTXPro,4323,9/12/17
Kary Hendrixson,Kan-code,GTXPro,5323,9/6/17
Zane Levy,J-Texon,GTX Basic,507,9/27/17
Cassey Cress,Opentech,MG Special,48,9/7/17
Cecily Lampkin,Codehow,GTX Plus Pro,5455,9/18/17
Corliss Cosme,Kan-code,GTX Plus Pro,5666,9/17/17
Donn Cantrell,Ontomedia,GTX Basic,498,9/8/17
Lajuana Vencill,Hottechi,MG Special,56,9/11/17
Markita Hansen,Scotfind,GTXPro,4063,9/5/17
Rosalina Dieter,Xx-holding,MG Special,58,9/11/17
Donn Cantrell,Yearin,GTX Plus Basic,1136,9/28/17
Elease Gluck,Groovestreet,GTXPro,5097,9/9/17
Maureen Marcano,Finjob,GTXPro,4642,9/19/17
Anna Snelling,Genco Pura Olive Oil Company,GTX Basic,460,9/16/17
Darcel Schlecht,Rundofase,GTX Basic,460,9/8/17
Donn Cantrell,Gekko & Co,GTX Plus Basic,1194,9/18/17
Donn Cantrell,Yearin,GTX Plus Pro,5861,9/16/17
Marty Freudenburg,Conecom,MG Special,54,9/1/17
Niesha Huffines,Betatech,GTX Plus Pro,5944,9/24/17
Darcel Schlecht,Domzoom,MG Advanced,2572,9/3/17
Kami Bicknell,Hatfan,GTX Plus Pro,5848,9/22/17
Vicki Laflamme,Singletechno,GTXPro,5099,9/6/17
Hayden Neloms,Finjob,MG Advanced,3121,9/8/17
Maureen Marcano,Zoomit,GTX Plus Basic,882,9/19/17
Boris Faz,Plussunin,GTX Plus Basic,1100,9/28/17
Cassey Cress,Donquadtech,MG Advanced,3630,9/18/17
Maureen Marcano,Finjob,GTX Plus Basic,1023,9/14/17
Maureen Marcano,Y-corporation,MG Advanced,3257,9/24/17
Garret Kinder,Mathtouch,MG Advanced,3340,9/30/17
Niesha Huffines,Gogozoom,GTX Basic,469,9/28/17
Boris Faz,Mathtouch,GTXPro,3834,9/14/17
Corliss Cosme,Donware,GTX Basic,530,9/15/17
Corliss Cosme,Konex,GTX Plus Pro,4989,9/23/17
Vicki Laflamme,Goodsilron,GTX Basic,534,9/29/17
Darcel Schlecht,dambase,MG Advanced,3255,9/3/17
Niesha Huffines,Cancity,MG Advanced,3501,9/2/17
Cecily Lampkin,Conecom,GTX Plus Pro,5753,9/30/17
Darcel Schlecht,Betatech,GTX Plus Basic,1071,9/18/17
Donn Cantrell,Kan-code,MG Advanced,3593,9/30/17
Elease Gluck,Hottechi,GTX Basic,583,9/28/17
Moses Frase,Rangreen,GTX Basic,574,9/3/17
Zane Levy,Xx-holding,GTX Basic,477,9/15/17
Darcel Schlecht,Scottech,GTX Plus Basic,1203,9/16/17
Donn Cantrell,Gekko & Co,GTX Plus Pro,6205,9/8/17
Jonathan Berthelot,Codehow,GTX Basic,546,9/23/17
Rosalina Dieter,Groovestreet,GTXPro,5561,9/7/17
Vicki Laflamme,Lexiqvolax,GTXPro,5054,9/17/17
Zane Levy,Singletechno,GTX Plus Basic,1064,9/21/17
Darcel Schlecht,Statholdings,MG Advanced,3727,9/3/17
Gladys Colclough,Condax,MG Advanced,3139,9/27/17
Zane Levy,Goodsilron,GTXPro,4797,9/16/17
Hayden Neloms,Sunnamplex,GTX Plus Basic,1170,9/30/17
Marty Freudenburg,Rangreen,GTX Basic,571,9/25/17
Maureen Marcano,Cheers,MG Advanced,3535,9/29/17
Boris Faz,Yearin,GTX Plus Basic,1029,9/20/17
Boris Faz,Mathtouch,MG Advanced,3830,9/18/17
Rosalina Dieter,Groovestreet,GTX Basic,622,9/7/17
Versie Hillebrand,Globex Corporation,MG Advanced,3038,9/27/17
Vicki Laflamme,Xx-holding,MG Advanced,2851,9/24/17
Darcel Schlecht,dambase,GTXPro,5113,9/5/17
Hayden Neloms,Finjob,MG Special,64,9/14/17
Markita Hansen,Blackzim,MG Advanced,3015,9/30/17
Niesha Huffines,Rangreen,MG Advanced,3696,9/28/17
Vicki Laflamme,Hottechi,MG Special,65,9/23/17
Cassey Cress,Yearin,GTX Plus Basic,904,9/5/17
Violet Mclelland,Initech,MG Special,54,9/1/17
Violet Mclelland,Donware,MG Advanced,2855,9/12/17
Gladys Colclough,Condax,GTXPro,4868,9/27/17
Darcel Schlecht,Toughzap,GTX Plus Pro,5947,9/29/17
Cassey Cress,Initech,GTX Plus Pro,5228,9/27/17
Gladys Colclough,dambase,GTX Plus Pro,5548,9/23/17
Zane Levy,Plexzap,GTXPro,6000,9/26/17
James Ascencio,Hottechi,GTX Basic,586,9/15/17
Cecily Lampkin,Finhigh,GTX Basic,610,9/5/17
Garret Kinder,Zotware,GTX Plus Basic,983,9/16/17
Kami Bicknell,Blackzim,MG Advanced,3463,9/29/17
Rosie Papadopoulos,Zotware,GTXPro,4906,9/4/17
James Ascencio,Cheers,GTXPro,5031,9/10/17
Moses Frase,Rundofase,MG Advanced,3457,9/19/17
Boris Faz,Bluth Company,GTXPro,4096,9/11/17
Reed Clapper,Zotware,GTX Plus Pro,6180,9/28/17
Lajuana Vencill,Inity,GTX Basic,454,9/19/17
Vicki Laflamme,Rantouch,GTX Plus Basic,1193,9/26/17
Donn Cantrell,Bioplex,GTX Plus Basic,1050,9/13/17
Kary Hendrixson,Scotfind,GTX Basic,518,9/16/17
Reed Clapper,Kan-code,GTX Plus Basic,1128,9/11/17
Daniell Hammack,Ontomedia,GTXPro,4935,9/19/17
Garret Kinder,Konex,MG Advanced,3971,9/20/17
Darcel Schlecht,Inity,GTX Plus Pro,6360,9/17/17
Gladys Colclough,Inity,GTXPro,4722,9/22/17
Daniell Hammack,Plussunin,GTX Plus Basic,1176,9/24/17
Donn Cantrell,Konex,GTXPro,4662,9/15/17
Moses Frase,Genco Pura Olive Oil Company,MG Special,59,9/9/17
Versie Hillebrand,Bioholding,GTX Basic,546,9/24/17
Vicki Laflamme,Doncon,MG Advanced,3195,9/28/17
Corliss Cosme,Zathunicon,GTX Basic,524,9/3/17
Maureen Marcano,Hottechi,GTX Basic,559,9/22/17
Corliss Cosme,Zencorporation,MG Special,59,9/1/17
Corliss Cosme,The New York Inquirer,GTX Plus Pro,4520,9/1/17
James Ascencio,Plusstrip,GTX Plus Pro,5533,9/3/17
Reed Clapper,Zencorporation,GTX Plus Basic,1024,9/3/17
Kami Bicknell,Finjob,MG Special,57,9/4/17
Rosie Papadopoulos,Kan-code,GTX Basic,501,9/24/17
Versie Hillebrand,Dontechi,MG Special,56,9/2/17
Rosie Papadopoulos,Kan-code,MG Advanced,3913,9/4/17
Zane Levy,Hottechi,GTX Basic,655,9/3/17
Darcel Schlecht,Betatech,GTXPro,4817,9/1/17
Markita Hansen,Cheers,GTX Plus Basic,1002,9/14/17
Cassey Cress,Bluth Company,GTX Basic,566,9/11/17
Darcel Schlecht,Finhigh,GTXPro,4310,9/3/17
Versie Hillebrand,Treequote,MG Special,54,9/8/17
Corliss Cosme,Gekko & Co,GTXPro,5002,9/2/17
Reed Clapper,Ganjaflex,GTXPro,4649,9/2/17
Rosie Papadopoulos,Umbrella Corporation,GTXPro,4787,9/1/17
Maureen Marcano,Y-corporation,GTX Plus Basic,1121,9/10/17
Kami Bicknell,Singletechno,GTX Basic,597,9/10/17
Reed Clapper,Kan-code,GTX Plus Pro,5415,9/2/17
Versie Hillebrand,Rundofase,MG Special,57,9/3/17
Violet Mclelland,Donware,MG Special,55,9/3/17
Daniell Hammack,Gekko & Co,GTXPro,4445,9/7/17
Jonathan Berthelot,Dontechi,GTX Basic,474,9/5/17
Rosalina Dieter,Hatfan,GTX Plus Pro,6391,9/13/17
Cassey Cress,Bioplex,GTX Basic,572,9/8/17
Hayden Neloms,Singletechno,MG Advanced,3462,9/10/17
James Ascencio,Scotfind,GTX Plus Pro,6029,9/6/17
Anna Snelling,Cancity,GTX Basic,597,9/5/17
Anna Snelling,Dontechi,MG Special,59,9/13/17
Kami Bicknell,Green-Plus,GTX Basic,596,9/9/17
Reed Clapper,Umbrella Corporation,GTX Basic,415,9/21/17
Boris Faz,Ontomedia,GTX Plus Basic,1022,9/5/17
Darcel Schlecht,Cancity,GTX Basic,525,9/11/17
Darcel Schlecht,Codehow,GTX Plus Basic,1252,9/7/17
Gladys Colclough,Conecom,MG Special,63,9/11/17
Markita Hansen,Kan-code,GTX Plus Basic,1081,9/27/17
Maureen Marcano,Hottechi,GTX Basic,653,9/14/17
Niesha Huffines,Rundofase,GTX Plus Basic,1105,9/13/17
Reed Clapper,The New York Inquirer,GTX Plus Basic,948,9/21/17
Cecily Lampkin,Treequote,GTX Plus Pro,5096,9/13/17
Cecily Lampkin,Warephase,GTX Plus Pro,4994,9/30/17
Donn Cantrell,Sumace,GTX Basic,600,9/8/17
Donn Cantrell,Yearin,GTX Basic,595,9/9/17
Rosie Papadopoulos,Vehement Capital Partners,GTXPro,5688,9/5/17
Anna Snelling,Statholdings,MG Special,55,9/8/17
Boris Faz,Zotware,GTXPro,4023,9/4/17
Cassey Cress,Iselectrics,MG Special,57,9/8/17
Daniell Hammack,Kinnamplus,GTXPro,5544,9/7/17
Darcel Schlecht,Condax,GTXPro,4598,9/18/17
Darcel Schlecht,Conecom,GTXPro,5008,9/10/17
Hayden Neloms,Dalttechnology,GTX Plus Basic,1195,9/6/17
Jonathan Berthelot,Globex Corporation,GTX Basic,623,9/8/17
Markita Hansen,Xx-holding,GTXPro,4592,9/15/17
Cassey Cress,Ganjaflex,GTXPro,4958,9/2/17
Darcel Schlecht,Finhigh,GTX Plus Pro,5293,9/10/17
Marty Freudenburg,Dontechi,GTX Plus Pro,4809,9/16/17
Versie Hillebrand,Zumgoity,GTX Basic,552,9/15/17
Versie Hillebrand,Toughzap,MG Special,59,9/3/17
Versie Hillebrand,Betatech,MG Advanced,4011,9/30/17
Vicki Laflamme,Green-Plus,MG Advanced,3337,9/7/17
Violet Mclelland,Yearin,MG Special,60,9/22/17
Darcel Schlecht,Cancity,GTXPro,4375,9/12/17
Kami Bicknell,J-Texon,GTX Plus Basic,1088,9/18/17
Kami Bicknell,Sunnamplex,GTX Plus Pro,5431,9/17/17
Niesha Huffines,Zumgoity,GTX Plus Basic,1098,9/14/17
Versie Hillebrand,Globex Corporation,MG Special,63,9/14/17
Versie Hillebrand,Isdom,MG Special,61,9/11/17
Garret Kinder,Acme Corporation,MG Special,57,9/17/17
Vicki Laflamme,Lexiqvolax,GTX Basic,555,9/16/17
Vicki Laflamme,Konex,MG Special,47,9/23/17
Anna Snelling,Bioholding,MG Special,64,9/6/17
Donn Cantrell,Gekko & Co,GTX Basic,635,9/8/17
Donn Cantrell,Donquadtech,GTXPro,5626,9/13/17
James Ascencio,Hatfan,GTX Basic,524,9/14/17
Jonathan Berthelot,Funholding,GTXPro,5080,9/16/17
Maureen Marcano,Nam-zim,GTX Plus Pro,6656,9/9/17
Reed Clapper,Donquadtech,GTXPro,4641,9/10/17
Vicki Laflamme,Newex,MG Advanced,4251,9/14/17
Violet Mclelland,Ganjaflex,MG Special,51,9/11/17
Boris Faz,Kinnamplus,GTX Plus Pro,4954,9/13/17
Cassey Cress,Condax,GTXPro,5113,9/6/17
Vicki Laflamme,Dalttechnology,GTXPro,5191,9/15/17
Niesha Huffines,Dontechi,GTX Plus Basic,1166,9/16/17
Darcel Schlecht,Codehow,MG Special,48,9/13/17
Donn Cantrell,Xx-zobam,MG Advanced,3206,9/20/17
Kami Bicknell,Lexiqvolax,MG Special,56,9/15/17
Versie Hillebrand,Cancity,MG Special,61,9/12/17
Vicki Laflamme,Y-corporation,GTXPro,5227,9/15/17
Corliss Cosme,Donware,GTXPro,4975,9/18/17
Corliss Cosme,Umbrella Corporation,MG Special,54,9/17/17
Darcel Schlecht,Codehow,MG Advanced,2969,9/12/17
Garret Kinder,Sumace,GTX Basic,558,9/13/17
Jonathan Berthelot,Betatech,GTX Basic,585,9/18/17
Anna Snelling,Funholding,GTX Plus Pro,5600,9/24/17
Boris Faz,Zotware,GTX Plus Basic,1114,9/14/17
Darcel Schlecht,Funholding,MG Advanced,3346,9/10/17
Boris Faz,Mathtouch,GTXPro,4609,9/22/17
Cecily Lampkin,Bioholding,GTX Basic,600,9/22/17
Corliss Cosme,Konex,GTXPro,5067,9/13/17
Kami Bicknell,J-Texon,GTX Plus Basic,1047,9/25/17
